AP01,94:b4:0f:4f:ef:e1,L1,CM0237778,94b40f4fefe1,southland
AP02 ,94:b4:0f:4f:ef:a1,L1,CM0237776,94b40f4fefa1,southland
AP03,94:b4:0f:4f:dc:a1,L1,CM0237624,94b40f4fdca1,southland
AP04,94:b4:0f:4f:ee:81,L1,CM0237767,94b40f4fee81,southland
AP05,94:b4:0f:4f:db:a1,L1,CM0237616,94b40f4fdba1,southland
AP06 ,94:b4:0f:4f:db:01,L1,CM0237611,94b40f4fdb01,southland
AP07,94:b4:0f:4f:ef:41,L1,CM0237773,94b40f4fef41,southland
AP08,94:b4:0f:4f:ef:c1,L1,CM0237777,94b40f4fefc1,southland
AP09,94:b4:0f:4f:dd:61,L1,CM0237630,94b40f4fdd61,southland
AP10,94:b4:0f:4f:ee:c1,L1,CM0237769,94b40f4feec1,southland
AP11,94:b4:0f:4f:ee:41,L1,CM0237765,94b40f4fee41,southland
AP12,94:b4:0f:4f:b1:41,L1,CM0237277,94b40f4fb141,southland
AP13,94:b4:0f:4f:ed:81,L1,M0237759,94b40f4fed81,southland
AP14,94:b4:0f:4f:b1:21,L1,CM0237276,94b40f4fb121,southland
AP15,94:b4:0f:4f:ee:a1,L1,CM0237768,94b40f4feea1,southland
AP16,94:b4:0f:4f:ed:a1,L1,CM0237760,94b40f4feda1,southland
AP17,94:b4:0f:4f:ed:61,L1,CM0237758,94b40f4fed61,southland
AP18,94:b4:0f:4f:ee:21,L1,CM0237764,94b40f4fee21,southland
AP19,94:b4:0f:4f:b1:61,L1,CM0237278,94b40f4fb161,southland
AP20,94:b4:0f:4f:b1:81,L1,CM0237279,94b40f4fb181,southland
AP21,94:b4:0f:4f:9b:21,L1,CM0237100,94b40f4f9b21,southland
AP22,94:b4:0f:4f:90:61,L1,CM0237014,94b40f4f9061,southland
AP23,94:b4:0f:4f:9b:c1,L1,CM0237105,94b40f4f9bc1,southland
AP24,94:b4:0f:4f:9b:01,L1,CM0237099,94b40f4f9b01,southland
AP25,94:b4:0f:4f:9b:a1,L1,CM0237104,94b40f4f9ba1,southland
AP26,94:b4:0f:4f:97:e1,L1,CM0237074,94b40f4f97e1,southland
AP27,94:b4:0f:4f:9b:81,L2,CM0237103,94b40f4f9b81,southland
AP28,94:b4:0f:4f:9a:81,L2,CM0237095,94b40f4f9a81,southland
AP29,94:b4:0f:cd:10:32,L2,CM0239980,94b40fcd1032,southland
AP30,94:b4:0f:4f:9a:e1,L2,CM0237098,94b40f4f9ae1,southland
AP31,94:b4:0f:4f:90:41,L2,CM0237013,94b40f4f9041,southland
AP32,94:b4:0f:4f:95:81,L2,CM0237055,94b40f4f9581,southland
AP33,94:b4:0f:4f:98:a1,L2,CM0237080,94b40f4f98a1,southland
AP34,94:b4:0f:4f:97:c1,L2,CM0237073,94b40f4f97c1,southland
AP35,94:b4:0f:4f:7f:a1,L2,CM0236880,94b40f4f7fa1,southland
AP36,94:b4:0f:4f:9c:01,L2,CM0237107,94b40f4f9c01,southland
AP37,94:b4:0f:4f:8f:a1,L2,CM0237008,94b40f4f8fa1,southland
AP38,94:b4:0f:4f:7f:81,L2,CM0236879,94b40f4f7f81,southland
AP39,94:b4:0f:4f:7e:c1,L2,CM0236873,94b40f4f7ec1,southland
AP40,94:b4:0f:4f:7b:c1,L2,CM0236849,94b40f4f7bc1,southland
AP41,94:b4:0f:4f:89:41,L2,CM0236957,94b40f4f8941,southland
AP42,94:b4:0f:4f:80:e1,L2,CM0236890,94b40f4f80e1,southland
AP43,94:b4:0f:4f:89:81,L2,CM0236959,94b40f4f8981,southland
AP44,94:b4:0f:4f:80:01,L2,CM0236883,94b40f4f8001,southland
AP45,94:b4:0f:4f:81:21,L2,CM0236892,94b40f4f8121,southland
AP46,94:b4:0f:4f:81:41,L2,CM0236893,94b40f4f8141,southland
AP47,94:b4:0f:4f:89:61,L2,CM0236958,94b40f4f8961,southland
AP48,94:b4:0f:4f:8a:61,L2,CM0236966,94b40f4f8a61,southland
AP49,94:b4:0f:4f:8a:81,L2,CM0236967,94b40f4f8a81,southland
AP50,94:b4:0f:4f:8a:41,L2,CM0236965,94b40f4f8a41,southland
AP51,94:b4:0f:4f:94:01,L2,CM0237043,94b40f4f9401,southland
AP52,94:b4:0f:4f:94:41,L2,CM0237045,94b40f4f9441,southland
AP53,94:b4:0f:4f:94:81,L2,CM0237047,94b40f4f9481,southland
AP54,94:b4:0f:4f:94:a1,L2,CM0237048,94b40f4f94a1,southland
AP55,94:b4:0f:4f:73:a1,L2,CM0236784,94b40f4f73a1,southland
AP56,94:b4:0f:4f:94:21,L2,CM0237044,94b40f4f9421,southland
AP57,94:b4:0f:4f:92:61,L2,CM0237030,94b40f4f9261,southland
AP58,94:b4:0f:4f:92:81,L2,CM0237031,94b40f4f9281,southland
AP59,94:b4:0f:4f:94:e1,L2,CM0237050,94b40f4f94e1,southland
AP60,94:b4:0f:4f:95:01,L2,CM0237051,94b40f4f9501,southland
AP61,94:b4:0f:cd:95:18,L2,CM0256991,94b40fcd9518,southland
AP62,94:b4:0f:cd:9e:aa,L2,CM0258216,94b40fcd9eaa,southland
AP63,94:b4:0f:59:3d:c1,L3,CM0256833,94b40f593dc1,southland
AP64,94:b4:0f:59:4f:81,L3,CM0256975,94b40f594f81,southland
AP65,94:b4:0f:59:50:a1,L3,CM0256984,94b40f5950a1,southland
AP66,94:b4:0f:59:52:c1,L3,CM0257001,94b40f5952c1,southland
AP67,94:b4:0f:59:50:41,L3,CM0256981,94b40f595041,southland
AP68,94:b4:0f:59:50:21,L3,CM0256980,94b40f595021,southland
AP69,94:b4:0f:59:52:61,L3,CM0256998,94b40f595261,southland
AP70,94:b4:0f:59:ec:61,L3,CM0258230,94b40f59ec61,southland
AP71,94:b4:0f:4f:98:01,L3,CM0237075,94b40f4f9801,southland
AP72,94:b4:0f:4f:99:21,L3,CM0237084,94b40f4f9921,southland
AP73,94:b4:0f:4f:99:a1,L3,CM0237088,94b40f4f99a1,southland
AP74,94:b4:0f:4f:99:c1,L3,CM0237089,94b40f4f99c1,southland
AP75,94:b4:0f:4f:9a:01,L3,CM0237091,94b40f4f9a01,southland
AP76,94:b4:0f:4f:99:e1,L3,CM0237090,94b40f4f99e1,southland
AP77,94:b4:0f:4f:9a:21,L3,CM0237092,94b40f4f9a21,southland
AP78,94:b4:0f:4f:98:e1,L3,CM0237082,94b40f4f98e1,southland
AP79,94:b4:0f:4f:98:61,L3,CM0237078,94b40f4f9861,southland
AP80,94:b4:0f:4f:98:81,L3,CM0237079,94b40f4f9881,southland
AP81,94:b4:0f:4f:7d:41,L3,CM0236861,94b40f4f7d41,southland
AP82,94:b4:0f:4f:7c:c1,L3,CM0236857,94b40f4f7cc1,southland
AP83,94:b4:0f:4f:7e:81,L3,CM0236871,94b40f4f7e81,southland
AP84,94:b4:0f:4f:8d:a1,L3,CM0236992,94b40f4f8da1,southland
AP85,94:b4:0f:4f:8c:c1,L3,CM0236985,94b40f4f8cc1,southland
AP86,94:b4:0f:4f:8d:01,L3,CM0236987,94b40f4f8d01,southland
AP87,94:b4:0f:4f:8c:a1,L3,CM0236984,94b40f4f8ca1,southland
AP88,94:b4:0f:4f:7e:61,L3,CM0236870,94b40f4f7e61,southland
AP89,94:b4:0f:4f:8d:41,L3,CM0236989,94b40f4f8d41,southland
AP90,94:b4:0f:4f:7d:21,L3,CM0236860,94b40f4f7d21,southland
AP91,94:b4:0f:4f:90:a1,L3,CM0237016,94b40f4f90a1,southland
AP92,94:b4:0f:4f:8f:e1,L3,CM0237010,94b40f4f8fe1,southland
AP93,94:b4:0f:4f:75:01,L3,CM0236795,94b40f4f7501,southland
